,origem_aluno,destino_aluno,inscricao
0,FURG,UFES,11
1,FURG,UFG,21
2,FURG,UFMA,24
3,FURG,UFPA,2
4,FURG,UFRN,27
5,FURG,UFSB,18
6,FURG,UFSM,7
7,FURG,UFU,43
8,FURG,UFV,5
9,FURG,UNB,6
10,UFES,FURG,145
11,UFES,UFG,80
12,UFES,UFMA,213
13,UFES,UFPA,27
14,UFES,UFRN,230
15,UFES,UFSB,63
16,UFES,UFSM,90
17,UFES,UFU,208
18,UFES,UFV,16
19,UFES,UNB,34
20,UFG,FURG,86
21,UFG,UFES,60
22,UFG,UFMA,118
23,UFG,UFPA,25
24,UFG,UFRN,168
25,UFG,UFSB,120
26,UFG,UFSM,66
27,UFG,UFU,497
28,UFG,UFV,22
29,UFG,UNB,81
30,UFMA,FURG,210
31,UFMA,UFES,160
32,UFMA,UFG,63
33,UFMA,UFPA,50
34,UFMA,UFRN,346
35,UFMA,UFSB,41
36,UFMA,UFSM,175
37,UFMA,UFU,163
38,UFMA,UFV,4
39,UFMA,UNB,32
40,UFMS,UFG,63
41,UFMS,UFSB,48
42,UFMS,UFU,192
43,UFMS,UFV,21
44,UFMS,UNB,31
45,UFPA,FURG,66
46,UFPA,UFES,76
47,UFPA,UFG,52
48,UFPA,UFMA,81
49,UFPA,UFRN,115
50,UFPA,UFSB,26
51,UFPA,UFSM,35
52,UFPA,UFU,137
53,UFPA,UFV,15
54,UFPA,UNB,25
55,UFRN,FURG,239
56,UFRN,UFES,162
57,UFRN,UFG,15
58,UFRN,UFMA,254
59,UFRN,UFPA,50
60,UFRN,UFSB,17
61,UFRN,UFSM,113
62,UFRN,UFU,52
63,UFRN,UFV,3
64,UFRN,UNB,4
65,UFS,UFG,116
66,UFS,UFSB,127
67,UFS,UFU,335
68,UFS,UFV,31
69,UFS,UNB,55
70,UFSB,FURG,29
71,UFSB,UFES,26
72,UFSB,UFG,37
73,UFSB,UFMA,45
74,UFSB,UFPA,5
75,UFSB,UFRN,27
76,UFSB,UFSM,18
77,UFSB,UFU,96
78,UFSB,UFV,5
79,UFSB,UNB,18
80,UFSM,FURG,66
81,UFSM,UFES,42
82,UFSM,UFG,235
83,UFSM,UFMA,38
84,UFSM,UFPA,6
85,UFSM,UFRN,77
86,UFSM,UFSB,227
87,UFSM,UFU,537
88,UFSM,UFV,53
89,UFSM,UNB,110
90,UFU,FURG,50
91,UFU,UFES,35
92,UFU,UFG,144
93,UFU,UFMA,47
94,UFU,UFPA,9
95,UFU,UFRN,64
96,UFU,UFSB,139
97,UFU,UFSM,16
98,UFU,UFV,31
99,UFU,UNB,85
100,UFV,FURG,90
101,UFV,UFES,104
102,UFV,UFG,70
103,UFV,UFMA,191
104,UFV,UFPA,15
105,UFV,UFRN,146
106,UFV,UFSB,60
107,UFV,UFSM,70
108,UFV,UFU,279
109,UFV,UNB,41
110,UNIPAMPA,UFG,140
111,UNIPAMPA,UFSB,154
112,UNIPAMPA,UFU,345
113,UNIPAMPA,UFV,27
114,UNIPAMPA,UNB,71
115,UTFPR,UFG,94
116,UTFPR,UFSB,128
117,UTFPR,UFU,620
118,UTFPR,UFV,23
119,UTFPR,UNB,66
120,UnB,FURG,48
121,UnB,UFES,35
122,UnB,UFG,120
123,UnB,UFMA,69
124,UnB,UFPA,7
125,UnB,UFRN,90
126,UnB,UFSB,108
127,UnB,UFSM,29
128,UnB,UFU,316
129,UnB,UFV,13
